0) math 140, cpsc 270, engr 213, engl 123, phys 152, phys 152l : 4680
1) math 140, cpsc 270, engr 213, engl 123, phys 152l, phys 152 : 4680
2) math 140, cpsc 270, engr 213, phys 152, engl 123, phys 152l : 4680
3) math 140, cpsc 270, engr 213, phys 152, phys 152l, engl 123 : 4680
4) math 140, cpsc 270, engr 213, phys 152l, phys 152, engl 123 : 4680
5) math 140, cpsc 270, engr 213, phys 152l, engl 123, phys 152 : 4680
6) math 140, cpsc 270, engl 123, engr 213, phys 152, phys 152l : 4680
7) math 140, cpsc 270, engl 123, engr 213, phys 152l, phys 152 : 4680
8) math 140, cpsc 270, engl 123, phys 152, engr 213, phys 152l : 4680
9) math 140, cpsc 270, engl 123, phys 152, phys 152l, engr 213 : 4680
10) math 140, cpsc 270, engl 123, phys 152l, phys 152, engr 213 : 4680
11) math 140, cpsc 270, engl 123, phys 152l, engr 213, phys 152 : 4680
12) math 140, cpsc 270, phys 152, engl 123, engr 213, phys 152l : 4680
13) math 140, cpsc 270, phys 152, engl 123, phys 152l, engr 213 : 4680
14) math 140, cpsc 270, phys 152, engr 213, engl 123, phys 152l : 4680
15) math 140, cpsc 270, phys 152, engr 213, phys 152l, engl 123 : 4680
16) math 140, cpsc 270, phys 152, phys 152l, engr 213, engl 123 : 4680
17) math 140, cpsc 270, phys 152, phys 152l, engl 123, engr 213 : 4680
18) math 140, cpsc 270, phys 152l, engl 123, phys 152, engr 213 : 4680
19) math 140, cpsc 270, phys 152l, engl 123, engr 213, phys 152 : 4680
20) math 140, cpsc 270, phys 152l, phys 152, engl 123, engr 213 : 4680
21) math 140, cpsc 270, phys 152l, phys 152, engr 213, engl 123 : 4680
22) math 140, cpsc 270, phys 152l, engr 213, phys 152, engl 123 : 4680
23) math 140, cpsc 270, phys 152l, engr 213, engl 123, phys 152 : 4680
24) math 140, engr 213, cpsc 270, engl 123, phys 152, phys 152l : 6887
25) math 140, engr 213, cpsc 270, engl 123, phys 152l, phys 152 : 6887
26) math 140, engr 213, cpsc 270, phys 152, engl 123, phys 152l : 6887
27) math 140, engr 213, cpsc 270, phys 152, phys 152l, engl 123 : 6887
28) math 140, engr 213, cpsc 270, phys 152l, phys 152, engl 123 : 6887
29) math 140, engr 213, cpsc 270, phys 152l, engl 123, phys 152 : 6887
30) math 140, engr 213, engl 123, cpsc 270, phys 152, phys 152l : 6887
31) math 140, engr 213, engl 123, cpsc 270, phys 152l, phys 152 : 6887
32) math 140, engr 213, engl 123, phys 152, cpsc 270, phys 152l : 6887
33) math 140, engr 213, engl 123, phys 152, phys 152l, cpsc 270 : 6887
34) math 140, engr 213, engl 123, phys 152l, phys 152, cpsc 270 : 6887
35) math 140, engr 213, engl 123, phys 152l, cpsc 270, phys 152 : 6887
36) math 140, engr 213, phys 152, engl 123, cpsc 270, phys 152l : 6887
37) math 140, engr 213, phys 152, engl 123, phys 152l, cpsc 270 : 6887
38) math 140, engr 213, phys 152, cpsc 270, engl 123, phys 152l : 6887
39) math 140, engr 213, phys 152, cpsc 270, phys 152l, engl 123 : 6887
40) math 140, engr 213, phys 152, phys 152l, cpsc 270, engl 123 : 6887
41) math 140, engr 213, phys 152, phys 152l, engl 123, cpsc 270 : 6887
